 CH2CHO                                                 CH3CO                                                   0.100E+14  0.000E+00  0.236E+05  0.200E+01  0.100E+03
 CH2CHO                                                 H          CH2CO                                        0.160E+14  0.000E+00  0.176E+05  0.200E+01  0.100E+03
 cC2H4O                                                 CH4        CO                                           0.120E+14  0.000E+00  0.288E+05  0.200E+01  0.100E+03
 cC2H4O                                                 CH3CHO                                                  0.730E+14  0.000E+00  0.288E+05  0.200E+01  0.100E+03
 cC2H4O                                                 CH3        HCO                                          0.360E+14  0.000E+00  0.288E+05  0.200E+01  0.100E+03
 C2H5O                                                  H2CO       CH3                                          0.800E+14  0.000E+00  0.108E+05  0.200E+01  0.100E+03
 C2H5O                                                  CH3CHO     H                                            0.200E+15  0.000E+00  0.117E+05  0.200E+01  0.100E+03
 2C2H4OH                                                H          CH3CHO                                       0.300E+14  0.000E+00  0.175E+05  0.200E+01  0.100E+03
 1C2H4OH                                                CH3CHO     H                                            0.300E+14  0.000E+00  0.191E+05  0.200E+01  0.100E+03
 2C2H4OH                                                1C2H4OH                                                 0.100E+12  0.000E+00  0.136E+05  0.200E+01  0.100E+03
 CH3OO                                                  H2CO       OH                                           0.150E+14  0.000E+00  0.236E+05  0.200E+01  0.100E+03
 CH3OOH                                                 CH3O       OH                                           0.600E+15  0.000E+00  0.213E+05  0.200E+01  0.100E+03
 C2H5OO                                                 C2H4OOH                                                 0.420E+13  0.000E+00  0.186E+05  0.200E+01  0.100E+03
 C2H4OOH                                                cC2H4O     OH                                           0.150E+12  0.000E+00  0.101E+05  0.200E+01  0.100E+03
 C2H4OOH                                                CH2OH      H2CO                                         0.250E+14  0.000E+00  0.138E+05  0.200E+01  0.100E+03
 C2H4OOH                                                C2H4       OOH                                          0.200E+14  0.000E+00  0.118E+05  0.200E+01  0.100E+03
 C2H5OOH                                                C2H5O      OH                                           0.400E+16  0.000E+00  0.216E+05  0.200E+01  0.100E+03
 CH3COOOH                                               CH3        CO2        OH                                0.100E+17  0.000E+00  0.201E+05  0.200E+01  0.100E+03
 NO3                                                    NO         O2                                           0.250E+07  0.000E+00  0.609E+04  0.200E+01  0.100E+03
 H2CNO                                                  HNCO       H                                            0.624E+20 -0.911E+01  0.271E+05  0.200E+01  0.100E+03
 HCNO                                                   HCN        O3P                                          0.291E+17 -0.612E+01  0.308E+05  0.200E+01  0.100E+03
 HCNH                                                   HCN        H                                            0.490E+15 -0.569E+01  0.122E+05  0.200E+01  0.100E+03
 HNO2                                                   HONO                                                    0.367E+16 -0.547E+01  0.266E+05  0.200E+01  0.100E+03
 C3H7O                                                  H2CO       C2H5                                         0.200E+14  0.000E+00  0.754E+04  0.200E+01  0.100E+03
 C3H7O                                                  H          C2H5CHO                                      0.200E+14  0.000E+00  0.754E+04  0.200E+01  0.100E+03
 C4H9O                                                  H2CO       1C3H7                                        0.200E+14  0.000E+00  0.754E+04  0.200E+01  0.100E+03
 H2CN                                                   HCN        H                                            0.549E+14 -0.600E+01  0.150E+05  0.200E+01  0.100E+03
 1C4H9                                                  2C4H9                                                   0.132E+13  0.000E+00  0.165E+05  0.200E+01  0.100E+03
 NNH                                                    N2         H                                            0.300E+09  0.000E+00  0.000E+00  0.200E+01  0.100E+03
