# C/N/O/H reaction network based on Venot et al. (2012) with some revision
# Two-body Reactions
# id	Reactions                           	A       	B       	C
[  CH + H -> C + H2 ]				  1.3000E-10  0.0000E+00  0.0000E+00 
[ CH3 + CH -> C2H3 + H]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ CH3 + C -> C2H2 + H]				  8.3100E-11  0.0000E+00  0.0000E+00 
[  CH3 + CH3 -> C2H5 + H]				  4.9800E-11  0.0000E+00  6.7900E+03 
[ CH3 + CH3 -> C2H4 + H2]				  3.4900E-10  0.0000E+00  9.7000E+03 
[ CH4 + H -> CH3 + H2 ]				  2.1593E-20  3.0000E+00  4.0200E+03 
[  CH4 + CH ->  C2H4 + H ]				  4.9800E-11  0.0000E+00 -2.0100E+02 
[ C2H + CH4 -> C2H2 + CH3 ]				  1.9900E-12  0.0000E+00  0.0000E+00 
[ C2H2 + H -> C2H + H2   ]				  1.1000E-10  0.0000E+00  1.3900E+04 
[ C2H3 + H -> C2H2 + H2  ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[ C2H3 + CH3 ->  CH4  + C2H2 ]				  6.4800E-13  0.0000E+00  0.0000E+00 
[ C2H3  + C2H -> C2H2 + C2H2  ]				  1.5900E-12  0.0000E+00  0.0000E+00 
[  C2H3 + C2H3 -> C2H4 + C2H2  ]				  1.5900E-12  0.0000E+00  0.0000E+00 
[ C2H4 + H -> C2H3 + H2 ]				  8.2984E-17  1.9300E+00  6.5400E+03 
[ C2H4  + CH3  -> CH4 + C2H3 ]				  1.0500E-12  0.0000E+00  8.0400E+03 
[  C2H5 + H  -> C2H4 + H2 ]				  2.9900E-12  0.0000E+00  0.0000E+00 
[ C2H5 + H -> C2H6 ]				  5.9800E-11  0.0000E+00  0.0000E+00 
[  C2H5 + CH3 ->  C2H4  + CH4]				  1.8300E-12  0.0000E+00  0.0000E+00 
[  C2H5 + C2H -> C2H2 + C2H4   ]				  2.9900E-12  0.0000E+00  0.0000E+00 
[ C2H5 + C2H3  -> C2H4 + C2H4   ]				  7.9700E-13  0.0000E+00  0.0000E+00 
[  C2H5 +  C2H3  -> C2H2 + C2H6   ]				  7.9700E-13  0.0000E+00  0.0000E+00 
[ C2H5  +  C2H5  ->  C2H4  + C2H6  ]				  2.3300E-12  0.0000E+00  0.0000E+00 
[  C2H6 +  H  ->  C2H5  + H2  ]				  2.3286E-15  1.5000E+00  3.7200E+03 
[  C2H6 + CH3 -> C2H5 + CH4    ]				  2.4966E-31  6.0000E+00  2.9200E+03 
[  C2H6 + C2H -> C2H2 +  C2H5  ]				  5.9800E-12  0.0000E+00  0.0000E+00 
[ C2H6 + C2H3  ->  C2H5 +  C2H4    ]				  9.9698E-22  3.3000E+00  5.2800E+03 
[ OH + H2 -> H + H2O     ]				  1.6646E-16  1.6000E+00  1.6600E+03 
[  OH +  C ->  CO + H   ]				  8.3100E-11  0.0000E+00  0.0000E+00 
[ OH + CH ->  HCO + H ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ OH + CH3 -> H2CO + H2  ]				  5.3232E-12 -5.3000E-01  5.4300E+03 
[ OH + CH3 ->  CH3O + H ]				  9.4684E-12 -2.3000E-01  6.9900E+03 
[ OH + CH4 -> CH3 + H2O ]				  2.6575E-17  1.8300E+00  1.3600E+03 
[ OH + C2H -> C2H2 + O3P]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ OH +  C2H -> CHCO + H]				  3.3200E-11  0.0000E+00  0.0000E+00 
[ OH + C2H2 -> C2H + H2O   ]				  2.3208E-20  2.6800E+00  6.0300E+03 
[ OH + C2H2 -> CH2CO + H   ]				  3.6566E-28  4.5000E+00 -5.0300E+02 
[ OH +  C2H2 ->  CH3 + CO]				  7.9753E-28  4.0000E+00 -1.0100E+03 
[ OH + C2H3  ->  C2H2 + H2O ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ OH + C2H3  ->  CH3CHO ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[  OH + C2H4 ->  C2H3 + H2O ]				  3.3200E-11  0.0000E+00  2.9700E+03 
[ OH + C2H4  ->  CH3 + H2CO ]				  3.3200E-12  0.0000E+00  4.5200E+02 
[ OH +  C2H5 -> C2H4 + H2O ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[  OH + C2H5 -> CH3 + H + H2CO]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ OH + C2H6  ->  C2H5 + H2O ]				  1.2000E-17  2.0000E+00  4.5200E+02 
[ H2O + CH ->  CH2OH ]				  9.4700E-12  0.0000E+00 -4.0200E+02 
[ CO + OH -> CO2 +  H ]				  1.0469E-17  1.5000E+00 -2.5100E+02 
[ HCO + H -> H2 + CO    ]				  1.5000E-10  0.0000E+00  0.0000E+00 
[ HCO + CH3  -> CH4  +  CO   ]				  1.9900E-10  0.0000E+00  0.0000E+00 
[ HCO + CH3  ->  CH3CHO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ CH3 +  H2CO ->    HCO + CH4    ]				  1.2795E-31  6.1000E+00  9.9000E+02 
[ HCO +  C2H  ->   C2H2  + CO ]				  9.9700E-11  0.0000E+00  0.0000E+00 
[ HCO + C2H3 -> C2H4 + CO   ]				  1.5000E-10  0.0000E+00  0.0000E+00 
[ C2H3 + H2CO  ->  HCO   +  C2H4    ]				  8.9655E-21  2.8100E+00  2.9700E+03 
[ HCO + C2H5  ->   C2H6 + CO  ]				  1.9900E-10  0.0000E+00  0.0000E+00 
[ C2H5  + H2CO   ->  HCO + C2H6    ]				  9.2501E-21  2.8100E+00  2.9500E+03 
[ HCO + OH  ->  H2O  + CO ]				  1.8300E-10  0.0000E+00  0.0000E+00 
[ HCO +  HCO -> H2CO + CO  ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[  H2CO + H   ->  HCO + H2  ]				  2.1548E-16  1.6200E+00  1.0600E+03 
[ H2CO + CH ->  CH2CHO ]				  1.5900E-10  0.0000E+00 -2.5100E+02 
[   H2CO  +  OH ->  HCO +  H2O       ]				  5.6475E-15  1.1800E+00 -2.0100E+02 
[ CH3O  + H -> H2CO + H2 ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ CH3O +  CH3  ->  H2CO + CH4  ]				  3.9900E-11  0.0000E+00  0.0000E+00 
[ CH3O +  CH4  ->  CH3 + CH3OH     ]				  2.6600E-13  0.0000E+00  4.4200E+03 
[  CH3O +  C2H ->  H2CO + C2H2   ]				  3.9900E-11  0.0000E+00  0.0000E+00 
